Organization legal name or 'doing business as' name,Group PAC ID, State,Measure Identifier,Measure Title,Measure Performance Rate,Footnote,State,Participating in PQRS,Inverse Measure,Reporting Mechanism,Reported on PC Live Site
GREATER REGIONAL MEDICAL CENTER,9234041013.000,$null$,PQRS_GRP_117_1,Diabetes: Eye Exam,70.656,1.000,IA,Y,N,WI,Y
GREATER REGIONAL MEDICAL CENTER,9234041013.000,$null$,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy -- Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),70.656,1.000,IA,Y,N,WI,Y
GREATER REGIONAL MEDICAL CENTER,9234041013.000,$null$,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,52.000,$null$,IA,Y,N,WI,Y
GREATER REGIONAL MEDICAL CENTER,9234041013.000,$null$,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,70.656,1.000,IA,Y,N,WI,Y
GREATER REGIONAL MEDICAL CENTER,9234041013.000,$null$,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,4.000,$null$,IA,Y,N,WI,Y
GREATER REGIONAL MEDICAL CENTER,9234041013.000,$null$,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,70.656,1.000,IA,Y,N,WI,Y
GREATER REGIONAL MEDICAL CENTER,9234041013.000,$null$,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,98.000,$null$,IA,Y,N,WI,Y
GREATER REGIONAL MEDICAL CENTER,9234041013.000,$null$,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,70.656,1.000,IA,Y,N,WI,Y
GREATER REGIONAL MEDICAL CENTER,9234041013.000,$null$,PQRS_GRP_318_1,Falls: Screening for Fall Risk,31.000,$null$,IA,Y,N,WI,Y
GREATER REGIONAL MEDICAL CENTER,9234041013.000,$null$,PQRS_GRP_8_1,Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),70.656,1.000,IA,Y,N,WI,Y
FREEPORT REGIONAL HEALTH CARE FOUNDATION,9234041682.000,$null$,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,74.000,$null$,IL,Y,N,WI,Y
FREEPORT REGIONAL HEALTH CARE FOUNDATION,9234041682.000,$null$,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,63.000,$null$,IL,Y,N,WI,Y
FREEPORT REGIONAL HEALTH CARE FOUNDATION,9234041682.000,$null$,PQRS_GRP_112_1,Breast Cancer Screening,59.000,$null$,IL,Y,N,WI,Y
FREEPORT REGIONAL HEALTH CARE FOUNDATION,9234041682.000,$null$,PQRS_GRP_113_1,Colorectal Cancer Screening,61.000,$null$,IL,Y,N,WI,Y
FREEPORT REGIONAL HEALTH CARE FOUNDATION,9234041682.000,$null$,PQRS_GRP_117_1,Diabetes: Eye Exam,40.000,$null$,IL,Y,N,WI,Y
FREEPORT REGIONAL HEALTH CARE FOUNDATION,9234041682.000,$null$,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy -- Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),74.000,$null$,IL,Y,N,WI,Y
FREEPORT REGIONAL HEALTH CARE FOUNDATION,9234041682.000,$null$,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,98.000,$null$,IL,Y,N,WI,Y
FREEPORT REGIONAL HEALTH CARE FOUNDATION,9234041682.000,$null$,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,97.000,$null$,IL,Y,N,WI,Y
FREEPORT REGIONAL HEALTH CARE FOUNDATION,9234041682.000,$null$,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,80.000,$null$,IL,Y,N,WI,Y
FREEPORT REGIONAL HEALTH CARE FOUNDATION,9234041682.000,$null$,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,91.000,$null$,IL,Y,N,WI,Y
FREEPORT REGIONAL HEALTH CARE FOUNDATION,9234041682.000,$null$,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,99.000,$null$,IL,Y,N,WI,Y
FREEPORT REGIONAL HEALTH CARE FOUNDATION,9234041682.000,$null$,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,77.000,$null$,IL,Y,N,WI,Y
FREEPORT REGIONAL HEALTH CARE FOUNDATION,9234041682.000,$null$,PQRS_GRP_318_1,Falls: Screening for Fall Risk,52.000,$null$,IL,Y,N,WI,Y
FREEPORT REGIONAL HEALTH CARE FOUNDATION,9234041682.000,$null$,PQRS_GRP_8_1,Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),83.000,$null$,IL,Y,N,WI,Y
PRESBYTERIAN HEALTHCARE SERVICES,9234041708.000,$null$,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,56.000,$null$,NM,Y,N,WI,Y
PRESBYTERIAN HEALTHCARE SERVICES,9234041708.000,$null$,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,73.000,$null$,NM,Y,N,WI,Y
PRESBYTERIAN HEALTHCARE SERVICES,9234041708.000,$null$,PQRS_GRP_112_1,Breast Cancer Screening,52.000,$null$,NM,Y,N,WI,Y
PRESBYTERIAN HEALTHCARE SERVICES,9234041708.000,$null$,PQRS_GRP_113_1,Colorectal Cancer Screening,48.000,$null$,NM,Y,N,WI,Y
PRESBYTERIAN HEALTHCARE SERVICES,9234041708.000,$null$,PQRS_GRP_117_1,Diabetes: Eye Exam,43.000,$null$,NM,Y,N,WI,Y
PRESBYTERIAN HEALTHCARE SERVICES,9234041708.000,$null$,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy -- Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),89.000,$null$,NM,Y,N,WI,Y
PRESBYTERIAN HEALTHCARE SERVICES,9234041708.000,$null$,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,60.000,$null$,NM,Y,N,WI,Y
PRESBYTERIAN HEALTHCARE SERVICES,9234041708.000,$null$,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,100.000,$null$,NM,Y,N,WI,Y
PRESBYTERIAN HEALTHCARE SERVICES,9234041708.000,$null$,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,98.000,$null$,NM,Y,N,WI,Y
PRESBYTERIAN HEALTHCARE SERVICES,9234041708.000,$null$,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,88.000,$null$,NM,Y,N,WI,Y
PRESBYTERIAN HEALTHCARE SERVICES,9234041708.000,$null$,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,94.000,$null$,NM,Y,N,WI,Y
PRESBYTERIAN HEALTHCARE SERVICES,9234041708.000,$null$,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,74.000,$null$,NM,Y,N,WI,Y
PRESBYTERIAN HEALTHCARE SERVICES,9234041708.000,$null$,PQRS_GRP_318_1,Falls: Screening for Fall Risk,98.000,$null$,NM,Y,N,WI,Y
PRESBYTERIAN HEALTHCARE SERVICES,9234041708.000,$null$,PQRS_GRP_8_1,Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),99.000,$null$,NM,Y,N,WI,Y
RIDGEVIEW MEDICAL CENTER,9234041997.000,$null$,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,61.000,$null$,MN,Y,N,WI,Y
RIDGEVIEW MEDICAL CENTER,9234041997.000,$null$,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,71.000,$null$,MN,Y,N,WI,Y
RIDGEVIEW MEDICAL CENTER,9234041997.000,$null$,PQRS_GRP_112_1,Breast Cancer Screening,47.000,$null$,MN,Y,N,WI,Y
RIDGEVIEW MEDICAL CENTER,9234041997.000,$null$,PQRS_GRP_113_1,Colorectal Cancer Screening,57.000,$null$,MN,Y,N,WI,Y
RIDGEVIEW MEDICAL CENTER,9234041997.000,$null$,PQRS_GRP_117_1,Diabetes: Eye Exam,20.000,$null$,MN,Y,N,WI,Y
RIDGEVIEW MEDICAL CENTER,9234041997.000,$null$,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy -- Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),70.656,1.000,MN,Y,N,WI,Y
RIDGEVIEW MEDICAL CENTER,9234041997.000,$null$,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,43.000,$null$,MN,Y,N,WI,Y
RIDGEVIEW MEDICAL CENTER,9234041997.000,$null$,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,97.000,$null$,MN,Y,N,WI,Y
RIDGEVIEW MEDICAL CENTER,9234041997.000,$null$,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,0.000,$null$,MN,Y,N,WI,Y
RIDGEVIEW MEDICAL CENTER,9234041997.000,$null$,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,88.000,$null$,MN,Y,N,WI,Y
RIDGEVIEW MEDICAL CENTER,9234041997.000,$null$,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,61.000,$null$,MN,Y,N,WI,Y
RIDGEVIEW MEDICAL CENTER,9234041997.000,$null$,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,83.000,$null$,MN,Y,N,WI,Y
RIDGEVIEW MEDICAL CENTER,9234041997.000,$null$,PQRS_GRP_318_1,Falls: Screening for Fall Risk,1.000,$null$,MN,Y,N,WI,Y
RIDGEVIEW MEDICAL CENTER,9234041997.000,$null$,PQRS_GRP_8_1,Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),70.656,2.000,MN,Y,N,WI,Y
GENESEE VALLEY GROUP HEALTH ASSOCIATION,9234043100.000,$null$,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,77.000,$null$,NY,Y,N,REG,Y
AXMINSTER MEDICAL GROUP,9234113283.000,$null$,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,82.000,$null$,CA,Y,N,REG,Y
AXMINSTER MEDICAL GROUP,9234113283.000,$null$,PQRS_GRP_47_1,Care Plan,51.000,$null$,CA,Y,N,REG,Y
EAR NOSE AND THROAT ASSOCIATES OF CHESTER COUNTY,9234113572.000,$null$,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use Â– Screening,99.000,$null$,PA,Y,N,REG,Y
EAR NOSE AND THROAT ASSOCIATES OF CHESTER COUNTY,9234113572.000,$null$,PQRS_GRP_93_1,Acute Otitis Externa (AOE): Systemic Antimicrobial Therapy Â– Avoidance of Inappropriate Use,72.000,$null$,PA,Y,N,REG,Y
ROME ORTHOPAEDIC CENTER PC,9234121864.000,$null$,PQRS_GRP_109_1,Osteoarthritis (OA): Function and Pain Assessment,97.000,$null$,GA,Y,N,REG,Y
ROME ORTHOPAEDIC CENTER PC,9234121864.000,$null$,PQRS_GRP_21_1,Perioperative Care: Selection of Prophylactic Antibiotic Â– First OR Second Generation Cephalosporin,99.000,$null$,GA,Y,N,REG,Y
ROME ORTHOPAEDIC CENTER PC,9234121864.000,$null$,PQRS_GRP_22_1,Perioperative Care: Discontinuation of Prophylactic Parenteral Antibiotics (Non-Cardiac Procedures),100.000,$null$,GA,Y,N,REG,Y
ROME ORTHOPAEDIC CENTER PC,9234121864.000,$null$,PQRS_GRP_23_1,Perioperative Care: Venous Thromboembolism (VTE) Prophylaxis (When Indicated in ALL Patients),79.000,$null$,GA,Y,N,REG,Y
ROME ORTHOPAEDIC CENTER PC,9234121864.000,$null$,PQRS_GRP_24_1,Osteoporosis: Communication with the Physician Managing On-going Care Post-Fracture of Hip, Spine or Distal Radius for Men and Women Aged 50 Years and Older,3.000,$null$,GA,Y,N,REG,Y
ROME ORTHOPAEDIC CENTER PC,9234121864.000,$null$,PQRS_GRP_358_1,Patient-Centered Surgical Risk Assessment and Communication,48.000,$null$,GA,Y,N,REG,Y
ROME ORTHOPAEDIC CENTER PC,9234121864.000,$null$,PQRS_GRP_40_1,Osteoporosis: Management Following Fracture of Hip, Spine or Distal Radius for Men and Women Aged 50 Years and Older,6.000,$null$,GA,Y,N,REG,Y
ROME ORTHOPAEDIC CENTER PC,9234121864.000,$null$,PQRS_GRP_46_1,Medication Reconciliation,87.000,$null$,GA,Y,N,REG,N
ROME ORTHOPAEDIC CENTER PC,9234121864.000,$null$,PQRS_GRP_46_2,Medication Reconciliation,98.000,$null$,GA,Y,N,REG,Y
ASPEN VALLEY HOSPITAL DISTRICT,9234123266.000,$null$,PQRS_GRP_51_1,Chronic Obstructive Pulmonary Disease (COPD): Spirometry Evaluation,82.000,$null$,CO,Y,N,REG,Y
GRANTS PASS CLINIC LLP,9234123977.000,$null$,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,94.000,$null$,OR,Y,N,REG,Y
GRANTS PASS CLINIC LLP,9234123977.000,$null$,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,10.000,$null$,OR,Y,Y,REG,N
GRANTS PASS CLINIC LLP,9234123977.000,$null$,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,1.000,$null$,OR,Y,Y,REG,Y
GRANTS PASS CLINIC LLP,9234123977.000,$null$,PQRS_GRP_5_1,Heart Failure (HF): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy for Left Ventricular Systolic Dysfunction (LVSD),43.000,$null$,OR,Y,N,REG,Y
INDIAN RIVER HEALTH SERVICES INC,9234130329.000,$null$,PQRS_GRP_122_1,Adult Kidney Disease: Blood Pressure Management,68.000,$null$,FL,Y,N,REG,N
INDIAN RIVER HEALTH SERVICES INC,9234130329.000,$null$,PQRS_GRP_122_3,Adult Kidney Disease: Blood Pressure Management,95.000,$null$,FL,Y,N,REG,Y
INDIAN RIVER HEALTH SERVICES INC,9234130329.000,$null$,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use Â– Screening,77.000,$null$,FL,Y,N,REG,Y
INDIAN RIVER HEALTH SERVICES INC,9234130329.000,$null$,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,11.000,$null$,FL,Y,Y,REG,N
INDIAN RIVER HEALTH SERVICES INC,9234130329.000,$null$,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,5.000,$null$,FL,Y,Y,REG,Y
APOGEE MEDICAL GROUP, ARKANSAS, PA,9234132648.000,$null$,PQRS_GRP_32_1,Stroke and Stroke Rehabilitation: Discharged on Antithrombotic Therapy,20.000,$null$,AR,N,N,REG,Y
APOGEE MEDICAL GROUP, ARKANSAS, PA,9234132648.000,$null$,PQRS_GRP_47_1,Care Plan,80.000,$null$,AR,N,N,REG,Y
HOSPITAL MEDICINE ASSOCIATES LLC,9234156985.000,$null$,PQRS_GRP_32_1,Stroke and Stroke Rehabilitation: Discharged on Antithrombotic Therapy,86.000,$null$,LA,Y,N,REG,Y
HOSPITAL MEDICINE ASSOCIATES LLC,9234156985.000,$null$,PQRS_GRP_33_1,Stroke and Stroke Rehabilitation: Anticoagulant Therapy Prescribed for Atrial Fibrillation (AF) at Discharge,73.000,$null$,LA,Y,N,REG,Y
HOSPITAL MEDICINE ASSOCIATES LLC,9234156985.000,$null$,PQRS_GRP_47_1,Care Plan,93.000,$null$,LA,Y,N,REG,Y
HOSPITAL MEDICINE ASSOCIATES LLC,9234156985.000,$null$,PQRS_GRP_5_1,Heart Failure (HF): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy for Left Ventricular Systolic Dysfunction (LVSD),86.000,$null$,LA,Y,N,REG,Y
HOSPITAL MEDICINE ASSOCIATES LLC,9234156985.000,$null$,PQRS_GRP_76_1,Prevention of Central Venous Catheter (CVC)-Related Bloodstream Infections,96.000,$null$,LA,Y,N,REG,Y
OHIO EYE ASSOCIATES, INC.,9234190745.000,$null$,PQRS_GRP_12_1,Primary Open-Angle Glaucoma (POAG): Optic Nerve Evaluation:,73.000,$null$,OH,Y,N,REG,Y
OHIO EYE ASSOCIATES, INC.,9234190745.000,$null$,PQRS_GRP_141_1,Primary Open-Angle Glaucoma (POAG): Reduction of Intraocular Pressure (IOP) by 15% OR Documentation of a Plan of Care,90.000,$null$,OH,Y,N,REG,Y
OHIO EYE ASSOCIATES, INC.,9234190745.000,$null$,PQRS_GRP_19_1,Diabetic Retinopathy: Communication with the Physician Managing Ongoing Diabetes Care,83.000,$null$,OH,Y,N,REG,Y
NATIONAL SINUS INSTITUTE PLLC,9234284407.000,$null$,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use Â– Screening,70.000,$null$,TX,Y,N,REG,Y
NATIONAL SINUS INSTITUTE PLLC,9234284407.000,$null$,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,0.000,$null$,TX,Y,Y,REG,N
NATIONAL SINUS INSTITUTE PLLC,9234284407.000,$null$,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,0.000,$null$,TX,Y,Y,REG,Y
NATIONAL SINUS INSTITUTE PLLC,9234284407.000,$null$,PQRS_GRP_47_1,Care Plan,64.000,$null$,TX,Y,N,REG,Y
MARSHALL MEDICAL CENTER SOUTH,9234302290.000,$null$,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,43.000,$null$,AL,N,N,REG,Y
MARSHALL MEDICAL CENTER SOUTH,9234302290.000,$null$,PQRS_GRP_54_1,Emergency Medicine: 12-Lead Electrocardiogram (ECG) Performed for Non-Traumatic Chest Pain,92.000,$null$,AL,N,N,REG,Y
MASSACHUSETTS ACUTE CARE SPECIALISTS PC,9234303082.000,$null$,PQRS_GRP_32_1,Stroke and Stroke Rehabilitation: Discharged on Antithrombotic Therapy,90.000,$null$,MA,Y,N,REG,Y
MASSACHUSETTS ACUTE CARE SPECIALISTS PC,9234303082.000,$null$,PQRS_GRP_47_1,Care Plan,95.000,$null$,MA,Y,N,REG,Y
CLIFTON H. CATHCART, D.O., P.A.,9234397225.000,$null$,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use Â– Screening,96.000,$null$,TX,Y,N,REG,Y
GREENWOOD LEFLORE HOSPITAL-NORTH CENTRAL MS UROLOGY CLINIC,9234453168.000,$null$,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,86.000,$null$,MS,Y,N,REG,Y
PSYCHIATRY FACULTY PRACTICE INC,9234458530.000,$null$,PQRS_GRP_131_1,Pain Assessment and Follow-Up,100.000,$null$,NY,Y,N,REG,Y
PSYCHIATRY FACULTY PRACTICE INC,9234458530.000,$null$,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use Â– Screening,100.000,$null$,NY,Y,N,REG,Y
COMMUNITY HEALTH CENTER OF BRANCH COUNTY,9335037514.000,$null$,PQRS_GRP_21_1,Perioperative Care: Selection of Prophylactic Antibiotic Â– First OR Second Generation Cephalosporin,96.000,$null$,MI,Y,N,REG,Y
COMMUNITY HEALTH CENTER OF BRANCH COUNTY,9335037514.000,$null$,PQRS_GRP_22_1,Perioperative Care: Discontinuation of Prophylactic Parenteral Antibiotics (Non-Cardiac Procedures),100.000,$null$,MI,Y,N,REG,Y
COMMUNITY HEALTH CENTER OF BRANCH COUNTY,9335037514.000,$null$,PQRS_GRP_23_1,Perioperative Care: Venous Thromboembolism (VTE) Prophylaxis (When Indicated in ALL Patients),100.000,$null$,MI,Y,N,REG,Y
COMMUNITY HEALTH CENTER OF BRANCH COUNTY,9335037514.000,$null$,PQRS_GRP_32_1,Stroke and Stroke Rehabilitation: Discharged on Antithrombotic Therapy,100.000,$null$,MI,Y,N,REG,Y
COMMUNITY HEALTH CENTER OF BRANCH COUNTY,9335037514.000,$null$,PQRS_GRP_46_1,Medication Reconciliation,100.000,$null$,MI,Y,N,REG,N
COMMUNITY HEALTH CENTER OF BRANCH COUNTY,9335037514.000,$null$,PQRS_GRP_46_2,Medication Reconciliation,100.000,$null$,MI,Y,N,REG,Y
COMMUNITY HEALTH CENTER OF BRANCH COUNTY,9335037514.000,$null$,PQRS_GRP_93_1,Acute Otitis Externa (AOE): Systemic Antimicrobial Therapy Â– Avoidance of Inappropriate Use,95.000,$null$,MI,Y,N,REG,Y
ROWAN DIAGNOSTIC CLINIC PA,9335037944.000,$null$,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,88.000,$null$,NC,Y,N,REG,Y
ROWAN DIAGNOSTIC CLINIC PA,9335037944.000,$null$,PQRS_GRP_154_1,Falls: Risk Assessment,83.000,$null$,NC,Y,N,REG,Y
ROWAN DIAGNOSTIC CLINIC PA,9335037944.000,$null$,PQRS_GRP_155_1,Falls: Plan of Care,89.000,$null$,NC,Y,N,REG,Y
ROWAN DIAGNOSTIC CLINIC PA,9335037944.000,$null$,PQRS_GRP_163_1,Diabetes: Foot Exam,77.000,$null$,NC,Y,N,REG,Y
ALLERGY AND ASTHMA CARE OF ROCKLAND, P.C.,9335039510.000,$null$,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,6.000,$null$,NY,Y,Y,REG,N
ALLERGY AND ASTHMA CARE OF ROCKLAND, P.C.,9335039510.000,$null$,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,2.000,$null$,NY,Y,Y,REG,Y
ALLERGY AND ASTHMA CARE OF ROCKLAND, P.C.,9335039510.000,$null$,PQRS_GRP_53_1,Asthma: Pharmacologic Therapy for Persistent Asthma - Ambulatory Care Setting,94.000,$null$,NY,Y,N,REG,N
ALLERGY AND ASTHMA CARE OF ROCKLAND, P.C.,9335039510.000,$null$,PQRS_GRP_53_2,Asthma: Pharmacologic Therapy for Persistent Asthma - Ambulatory Care Setting,94.000,$null$,NY,Y,N,REG,N
ALLERGY AND ASTHMA CARE OF ROCKLAND, P.C.,9335039510.000,$null$,PQRS_GRP_53_3,Asthma: Pharmacologic Therapy for Persistent Asthma - Ambulatory Care Setting,100.000,$null$,NY,Y,N,REG,Y
TOTAL SKIN AND BEAUTY DERMATOLOGY CENTER, PC,9335043033.000,$null$,PQRS_GRP_137_1,Melanoma: Continuity of Care Â– Recall System,100.000,$null$,AL,N,N,REG,Y
TOTAL SKIN AND BEAUTY DERMATOLOGY CENTER, PC,9335043033.000,$null$,PQRS_GRP_224_1,Melanoma: Overutilization of Imaging Studies in Melanoma,100.000,$null$,AL,N,N,REG,N
TOTAL SKIN AND BEAUTY DERMATOLOGY CENTER, PC,9335043033.000,$null$,PQRS_GRP_265_1,Biopsy Follow-Up,97.000,$null$,AL,N,N,REG,Y
LAFAYETTE HEALTH VENTURES INC,9335043074.000,$null$,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,49.000,$null$,LA,Y,N,WI,Y
LAFAYETTE HEALTH VENTURES INC,9335043074.000,$null$,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,50.000,$null$,LA,Y,N,WI,Y
LAFAYETTE HEALTH VENTURES INC,9335043074.000,$null$,PQRS_GRP_112_1,Breast Cancer Screening,54.000,$null$,LA,Y,N,WI,Y
LAFAYETTE HEALTH VENTURES INC,9335043074.000,$null$,PQRS_GRP_113_1,Colorectal Cancer Screening,38.000,$null$,LA,Y,N,WI,Y
LAFAYETTE HEALTH VENTURES INC,9335043074.000,$null$,PQRS_GRP_117_1,Diabetes: Eye Exam,23.000,$null$,LA,Y,N,WI,Y
LAFAYETTE HEALTH VENTURES INC,9335043074.000,$null$,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy -- Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),73.000,$null$,LA,Y,N,WI,Y
LAFAYETTE HEALTH VENTURES INC,9335043074.000,$null$,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,89.000,$null$,LA,Y,N,WI,Y
LAFAYETTE HEALTH VENTURES INC,9335043074.000,$null$,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,45.000,$null$,LA,Y,N,WI,Y
LAFAYETTE HEALTH VENTURES INC,9335043074.000,$null$,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,37.000,$null$,LA,Y,N,WI,Y
LAFAYETTE HEALTH VENTURES INC,9335043074.000,$null$,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,87.000,$null$,LA,Y,N,WI,Y
LAFAYETTE HEALTH VENTURES INC,9335043074.000,$null$,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,95.000,$null$,LA,Y,N,WI,Y
LAFAYETTE HEALTH VENTURES INC,9335043074.000,$null$,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,73.000,$null$,LA,Y,N,WI,Y
LAFAYETTE HEALTH VENTURES INC,9335043074.000,$null$,PQRS_GRP_318_1,Falls: Screening for Fall Risk,63.000,$null$,LA,Y,N,WI,Y
LAFAYETTE HEALTH VENTURES INC,9335043074.000,$null$,PQRS_GRP_8_1,Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),79.000,$null$,LA,Y,N,WI,Y
PEACEHEALTH PEACE ISLAND MEDICAL CENTER,9335391044.000,$null$,PQRS_GRP_163_1,Diabetes: Foot Exam,40.000,$null$,WA,Y,N,REG,Y
WILLIAM BEAUMONT HOSPITAL,9335051093.000,$null$,PQRS_GRP_44_1,Coronary Artery Bypass Graft (CABG): Preoperative Beta-Blocker in Patients with Isolated CABG Surgery,100.000,$null$,MI,Y,N,REG,Y
WILLIAM BEAUMONT HOSPITAL,9335051093.000,$null$,PQRS_GRP_54_1,Emergency Medicine: 12-Lead Electrocardiogram (ECG) Performed for Non-Traumatic Chest Pain,100.000,$null$,MI,Y,N,REG,Y
WILLIAM BEAUMONT HOSPITAL,9335051093.000,$null$,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,100.000,$null$,MI,Y,N,REG,Y
WILLIAM BEAUMONT HOSPITAL,9335051093.000,$null$,PQRS_GRP_7_2,Coronary Artery Disease (CAD): Beta-Blocker Therapy Â– Prior Myocardial Infarction (MI) or Left Ventricular Systolic Dysfunction (LVEF < 40%),100.000,$null$,MI,Y,N,REG,Y
PROVIDENCE HEALTH AND SERVICES - OREGON,9335057447.000,$null$,PQRS_GRP_47_1,Care Plan,67.000,$null$,OR,Y,N,REG,Y
SACRED HEART-ST MARY'S HOSPITALS INC,9335059856.000,$null$,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,66.000,$null$,WI,Y,N,WI,Y
